Nome,NumeroCartao,data_compra,hora_compra,categoria,estabelecimento,ValorCompra
Ana,4745654042586681,2024-05-08,18:46:33,Vestuário,Loja de Roupas,53.21
Carlos,374149440690652,2024-04-22,03:00:47,Farmácia,Loja de Suplementos,159.7
Carlos,374149440690652,2024-05-16,22:19:36,Lazer,Show,114.56
Maria,374604561384428,2024-05-06,01:13:57,Mercado,Supermercado,101.21
Joao,2298930723413634,2024-04-18,02:08:58,Mercado,Mercado,32.03
Carlos,374149440690652,2024-04-21,03:17:30,Viagem,Hotel,23.37
Maria,374604561384428,2024-05-07,19:24:10,Eletrônicos,Loja de Eletrônicos,34.79
Maria,374604561384428,2024-05-11,10:05:53,Mercado,Mercado,259.72
Ana,4745654042586681,2024-04-01,02:07:42,Vestuário,Boutique,251.89
Maria,374604561384428,2024-05-04,01:10:51,Eletrônicos,Tecnologia,70.06
Joao,2298930723413634,2024-05-16,03:11:26,Transporte,Uber,251.46
Joao,2298930723413634,2024-05-15,01:37:41,Viagem,Agência de Viagens,238.87
Ana,4745654042586681,2024-04-04,21:31:02,Alimentação,Cafeteria,167.73
Carlos,374149440690652,2024-05-04,18:16:13,Transporte,Uber,40.68
Ana,4745654042586681,2024-04-05,18:48:44,Eletrônicos,Tecnologia,296.11
Joao,2298930723413634,2024-05-16,05:54:28,Alimentação,Cafeteria,11.16
Joao,2298930723413634,2024-04-28,11:41:33,Farmácia,Drogaria,44.33
Ana,4745654042586681,2024-04-14,11:14:39,Farmácia,Farmácia,102.8
Maria,374604561384428,2024-04-13,21:34:19,Mercado,Mercado,125.21
Ana,4745654042586681,2024-04-27,13:28:09,Mercado,Supermercado,213.37
Carlos,374149440690652,2024-05-09,00:00:20,Viagem,Companhia Aérea,143.99
Ana,4745654042586681,2024-04-28,05:30:22,Eletrônicos,Loja de Eletrônicos,63.93
Maria,374604561384428,2024-04-17,01:20:00,Alimentação,Cafeteria,283.71
Joao,2298930723413634,2024-05-08,15:00:16,Farmácia,Loja de Suplementos,238.96
Carlos,374149440690652,2024-04-26,11:12:11,Lazer,Show,145.31
Maria,374604561384428,2024-05-13,09:54:26,Vestuário,Loja de Roupas,252.64
Ana,4745654042586681,2024-04-22,13:56:42,Transporte,Estacionamento,240.31
Ana,4745654042586681,2024-05-11,21:52:56,Transporte,Posto de Gasolina,101.11
Carlos,374149440690652,2024-04-09,11:12:17,Mercado,Hipermercado,282.02
Maria,374604561384428,2024-05-03,11:00:18,Mercado,Mercado,40.49
Carlos,374149440690652,2024-05-02,15:46:47,Alimentação,Lanchonete,209.04
Ana,4745654042586681,2024-05-12,06:38:30,Eletrônicos,Loja de Eletrônicos,278.9
Ana,4745654042586681,2024-04-05,03:53:03,Alimentação,Padaria,92.94
Maria,374604561384428,2024-04-15,21:11:39,Transporte,Posto de Gasolina,149.94
Ana,4745654042586681,2024-05-16,18:34:14,Farmácia,Loja de Suplementos,113.44
Carlos,374149440690652,2024-04-27,19:52:10,Vestuário,Loja de Roupas,100.61
Ana,4745654042586681,2024-04-14,00:07:33,Alimentação,Cafeteria,238.72
Carlos,374149440690652,2024-04-22,19:09:11,Farmácia,Drogaria,90.58
Joao,2298930723413634,2024-04-25,11:06:18,Farmácia,Loja de Suplementos,296.75
Ana,4745654042586681,2024-04-30,00:15:19,Eletrônicos,E-commerce,212.77
Carlos,374149440690652,2024-04-29,01:34:51,Transporte,Táxi,249.69
Maria,374604561384428,2024-05-08,11:37:04,Viagem,Companhia Aérea,223.32
Carlos,374149440690652,2024-04-21,14:19:52,Transporte,Uber,142.18
Joao,2298930723413634,2024-04-15,18:55:58,Vestuário,Boutique,243.16
Carlos,374149440690652,2024-04-11,10:53:04,Transporte,Táxi,220.61
Joao,2298930723413634,2024-05-15,11:19:57,Viagem,Agência de Viagens,10.32
Ana,4745654042586681,2024-05-09,19:43:24,Farmácia,Drogaria,284.61
Joao,2298930723413634,2024-04-02,14:21:55,Eletrônicos,Loja de Eletrônicos,105.56
Joao,2298930723413634,2024-04-16,16:52:01,Lazer,Teatro,187.63
Joao,2298930723413634,2024-05-10,21:22:31,Eletrônicos,E-commerce,213.34
Ana,4745654042586681,2024-04-03,15:36:49,Transporte,Táxi,153.34
Ana,4745654042586681,2024-04-23,17:08:45,Transporte,Táxi,193.93
Maria,374604561384428,2024-05-02,19:44:55,Viagem,Agência de Viagens,295.84
Joao,2298930723413634,2024-04-04,05:21:48,Mercado,Hipermercado,72.13
Carlos,374149440690652,2024-05-13,20:44:53,Vestuário,Loja de Roupas,91.86
Joao,2298930723413634,2024-05-05,15:14:45,Transporte,Estacionamento,125.45
Carlos,374149440690652,2024-05-12,04:38:47,Transporte,Táxi,149.12
Ana,4745654042586681,2024-04-22,17:44:53,Farmácia,Drogaria,27.32
Joao,2298930723413634,2024-04-14,08:14:39,Vestuário,Loja de Calçados,140.75
Maria,374604561384428,2024-04-08,00:28:08,Mercado,Hipermercado,54.57
Ana,4745654042586681,2024-04-17,01:48:10,Viagem,Agência de Viagens,229.79
Ana,4745654042586681,2024-04-25,20:04:48,Alimentação,Lanchonete,109.56
Ana,4745654042586681,2024-04-21,12:37:32,Eletrônicos,Tecnologia,179.78
Ana,4745654042586681,2024-04-27,23:24:07,Lazer,Show,112.43
Carlos,374149440690652,2024-05-15,08:57:45,Eletrônicos,E-commerce,186.58
Joao,2298930723413634,2024-05-04,14:26:42,Farmácia,Farmácia,75.9
Ana,4745654042586681,2024-04-18,06:38:28,Transporte,Estacionamento,98.85
Carlos,374149440690652,2024-05-11,07:07:09,Viagem,Companhia Aérea,18.96
Joao,2298930723413634,2024-04-23,18:28:01,Transporte,Táxi,36.01
Carlos,374149440690652,2024-04-07,01:02:20,Viagem,Agência de Viagens,12.58
Ana,4745654042586681,2024-04-28,01:04:12,Eletrônicos,E-commerce,291.19
Joao,2298930723413634,2024-04-05,17:52:27,Mercado,Feira Livre,180.06
Maria,374604561384428,2024-04-29,06:28:28,Vestuário,Loja de Calçados,171.66
Maria,374604561384428,2024-05-06,04:37:36,Vestuário,Boutique,284.5
Joao,2298930723413634,2024-04-20,22:41:02,Mercado,Supermercado,25.8
Maria,374604561384428,2024-04-21,18:59:06,Mercado,Feira Livre,66.85
Ana,4745654042586681,2024-05-07,15:32:13,Lazer,Teatro,83.64
Carlos,374149440690652,2024-05-15,18:43:51,Lazer,Show,160.22
Ana,4745654042586681,2024-04-02,07:19:18,Vestuário,Boutique,113.76
Carlos,374149440690652,2024-05-08,14:41:57,Alimentação,Cafeteria,292.1
Joao,2298930723413634,2024-05-13,18:19:52,Lazer,Cinema,19.6
Carlos,374149440690652,2024-04-19,19:49:50,Eletrônicos,Tecnologia,186.47
Carlos,374149440690652,2024-05-03,23:06:15,Alimentação,Padaria,97.61
Joao,2298930723413634,2024-04-22,17:59:52,Farmácia,Farmácia,12.88
Carlos,374149440690652,2024-04-18,03:32:20,Alimentação,Lanchonete,297.32
Ana,4745654042586681,2024-04-23,16:59:21,Alimentação,Restaurante,88.52
Ana,4745654042586681,2024-04-25,14:44:06,Viagem,Hotel,210.74
Carlos,374149440690652,2024-05-14,21:19:31,Alimentação,Padaria,77.94
Maria,374604561384428,2024-04-15,15:41:45,Lazer,Parque de Diversões,61.18
Carlos,374149440690652,2024-04-30,05:17:06,Viagem,Agência de Viagens,208.49
Ana,4745654042586681,2024-05-13,01:30:22,Viagem,Hotel,277.52
Ana,4745654042586681,2024-04-30,06:33:39,Alimentação,Padaria,289.87
Maria,374604561384428,2024-04-24,08:33:10,Vestuário,Loja de Roupas,35.9
Maria,374604561384428,2024-05-12,19:12:11,Mercado,Supermercado,41.54
Maria,374604561384428,2024-04-15,10:18:17,Eletrônicos,Tecnologia,110.68
Ana,4745654042586681,2024-04-01,09:10:23,Alimentação,Cafeteria,203.84
Maria,374604561384428,2024-04-23,06:57:51,Transporte,Táxi,33.37
Ana,4745654042586681,2024-04-10,11:04:09,Eletrônicos,E-commerce,119.85
Maria,374604561384428,2024-05-04,14:42:45,Lazer,Cinema,87.73
Ana,4745654042586681,2024-04-02,00:39:50,Farmácia,Drogaria,267.33
